天津联通,#genre#
CCTV-11戏曲,http://nas.hssvm.com:8888/udp/225.0.2.192:5000
CCTV-12社会与法,http://nas.hssvm.com:8888/udp/225.2.1.142:5000
CCTV-13新闻,http://nas.hssvm.com:8888/udp/225.0.2.193:5000
CCTV-14少儿,http://nas.hssvm.com:8888/udp/225.2.1.144:5000
CCTV-15音乐,http://nas.hssvm.com:8888/udp/225.0.2.194:5000
CCTV-16奥林匹克,http://nas.hssvm.com:8888/udp/225.0.2.237:5000
CCTV-17农业农村,http://nas.hssvm.com:8888/udp/225.0.2.52:5000
CGTN SD,http://nas.hssvm.com:8888/udp/225.2.1.27:5000
CGTN Documentary SD,http://nas.hssvm.com:8888/udp/225.2.1.55:5000
CCTV卫生健康,http://nas.hssvm.com:8888/udp/225.0.2.165:5000
CCTV兵器科技,http://nas.hssvm.com:8888/udp/225.0.2.166:5000
CCTV电视指南,http://nas.hssvm.com:8888/udp/225.0.2.167:5000
CCTV风云足球,http://nas.hssvm.com:8888/udp/225.0.2.168:5000
CCTV高尔夫网球,http://nas.hssvm.com:8888/udp/225.0.2.169:5000
CCTV央视台球,http://nas.hssvm.com:8888/udp/225.0.2.170:5000
CCTV世界地理,http://nas.hssvm.com:8888/udp/225.0.2.171:5000
CCTV女性时尚,http://nas.hssvm.com:8888/udp/225.0.2.172:5000
CCTV怀旧剧场,http://nas.hssvm.com:8888/udp/225.0.2.173:5000
CCTV风云剧场,http://nas.hssvm.com:8888/udp/225.0.2.174:5000
CCTV第一剧场,http://nas.hssvm.com:8888/udp/225.0.2.175:5000
CCTV风云音乐,http://nas.hssvm.com:8888/udp/225.0.2.176:5000
CCTV央视文化精品,http://nas.hssvm.com:8888/udp/225.0.2.177:5000
中央新影发现之旅 SD,http://nas.hssvm.com:8888/udp/225.2.1.183:5000
中央新影老故事 SD,http://nas.hssvm.com:8888/udp/225.2.1.188:5000
中央新影中学生 SD,http://nas.hssvm.com:8888/udp/225.2.1.193:5000
湖南卫视,http://nas.hssvm.com:8888/udp/225.2.1.114:5000
江苏卫视,http://nas.hssvm.com:8888/udp/225.2.1.126:5000
浙江卫视,http://nas.hssvm.com:8888/udp/225.2.1.112:5000
上海东方卫视,http://nas.hssvm.com:8888/udp/225.0.2.31:5000
安徽卫视,http://nas.hssvm.com:8888/udp/225.2.1.127:5000
北京卫视,http://nas.hssvm.com:8888/udp/225.2.1.113:5000
辽宁卫视,http://nas.hssvm.com:8888/udp/225.2.1.154:5000
吉林卫视,http://nas.hssvm.com:8888/udp/225.0.2.26:5000
黑龙江卫视,http://nas.hssvm.com:8888/udp/225.2.1.115:5000
广东卫视,http://nas.hssvm.com:8888/udp/225.2.1.116:5000
深圳卫视,http://nas.hssvm.com:8888/udp/225.2.1.117:5000
福建东南卫视,#http://nas.hssvm.com:8888/udp/225.0.2.235:5000
四川卫视,http://nas.hssvm.com:8888/udp/225.2.1.123:5000
重庆卫视,http://nas.hssvm.com:8888/udp/225.2.1.155:5000
湖北卫视,http://nas.hssvm.com:8888/udp/225.2.1.147:5000
山东卫视,#http://nas.hssvm.com:8888/udp/225.2.1.148:5000
河南卫视,http://nas.hssvm.com:8888/udp/225.0.2.61:5000
河北卫视,http://nas.hssvm.com:8888/udp/225.0.2.27:5000
江西卫视,http://nas.hssvm.com:8888/udp/225.0.2.29:5000
云南卫视,http://nas.hssvm.com:8888/udp/225.2.1.250:5000
贵州卫视,http://nas.hssvm.com:8888/udp/225.0.2.28:5000
甘肃卫视,http://nas.hssvm.com:8888/udp/225.2.1.159:5000
广西卫视,http://nas.hssvm.com:8888/udp/225.0.2.81:5000
海南卫视,http://nas.hssvm.com:8888/udp/225.0.2.82:5000
三沙卫视,http://nas.hssvm.com:8888/udp/225.2.1.182:5000
内蒙古卫视 SD,http://nas.hssvm.com:8888/udp/225.2.1.32:5000
新疆卫视 SD,http://nas.hssvm.com:8888/udp/225.2.1.35:5000
陕西卫视 SD,http://nas.hssvm.com:8888/udp/225.2.1.41:5000
山西卫视 SD,http://nas.hssvm.com:8888/udp/225.2.1.50:5000
西藏卫视 SD,http://nas.hssvm.com:8888/udp/225.2.1.51:5000
青海卫视 SD,http://nas.hssvm.com:8888/udp/225.2.1.54:5000
宁夏卫视 SD,http://nas.hssvm.com:8888/udp/225.2.1.56:5000
兵团卫视 SD,http://nas.hssvm.com:8888/udp/225.2.1.57:5000
冬奥纪实,#http://nas.hssvm.com:8888/udp/225.0.2.30:5000
纪实人文,http://nas.hssvm.com:8888/udp/225.0.2.25:5000
金鹰纪实,http://nas.hssvm.com:8888/udp/225.2.1.124:5000
CHC影迷电影,http://nas.hssvm.com:8888/udp/225.2.1.214:5000
CHC家庭影院,http://nas.hssvm.com:8888/udp/225.2.1.213:5000
CHC动作电影,http://nas.hssvm.com:8888/udp/225.2.1.215:5000
动漫秀场,http://nas.hssvm.com:8888/udp/225.2.1.134:5000
游戏风云,http://nas.hssvm.com:8888/udp/225.2.1.135:5000
魅力足球,http://nas.hssvm.com:8888/udp/225.2.1.137:5000
劲爆体育,#http://nas.hssvm.com:8888/udp/225.2.1.136:5000
魅力音乐,#http://nas.hssvm.com:8888/udp/225.2.1.137:5000
欢笑剧场,http://nas.hssvm.com:8888/udp/225.2.1.139:5000
欢笑剧场4K,http://nas.hssvm.com:8888/udp/225.2.1.152:5000
东方财经,http://nas.hssvm.com:8888/udp/225.2.1.247:5000
生活时尚,http://nas.hssvm.com:8888/udp/225.2.1.143:5000
乐游,http://nas.hssvm.com:8888/udp/225.2.1.145:5000
都市剧场,http://nas.hssvm.com:8888/udp/225.2.1.146:5000
法治天地,http://nas.hssvm.com:8888/udp/225.2.1.84:5000
金色学堂,http://nas.hssvm.com:8888/udp/225.2.1.85:5000
快乐垂钓,http://nas.hssvm.com:8888/udp/225.0.2.18:5000
茶频道,http://nas.hssvm.com:8888/udp/225.0.2.19:5000
梨园频道,http://nas.hssvm.com:8888/udp/225.0.2.104:5000
文物宝库,http://nas.hssvm.com:8888/udp/225.0.2.105:5000
武术世界,http://nas.hssvm.com:8888/udp/225.0.2.129:5000
中华美食,http://nas.hssvm.com:8888/udp/225.2.1.77:5000
陶瓷,http://nas.hssvm.com:8888/udp/225.0.2.189:5000
早期教育,http://nas.hssvm.com:8888/udp/225.0.2.207:5000
金鹰卡通,http://nas.hssvm.com:8888/udp/225.0.2.236:5000
KAKU少儿 SD,http://nas.hssvm.com:8888/udp/225.2.1.58:5000
哈哈炫动 SD,http://nas.hssvm.com:8888/udp/225.2.1.62:5000
新动漫 SD,http://nas.hssvm.com:8888/udp/225.2.1.216:5000
先锋乒羽 SD,http://nas.hssvm.com:8888/udp/225.2.1.219:5000
环球奇观 SD,http://nas.hssvm.com:8888/udp/225.2.1.197:5000
汽摩 SD,http://nas.hssvm.com:8888/udp/225.2.1.205:5000
书画频道 SD,http://nas.hssvm.com:8888/udp/225.0.2.22:5000
家庭理财 SD,http://nas.hssvm.com:8888/udp/225.0.2.23:5000
中华特产 SD,http://nas.hssvm.com:8888/udp/225.0.2.197:5000
财富天下 SD,http://nas.hssvm.com:8888/udp/225.0.2.198:5000
车迷频道 SD,http://nas.hssvm.com:8888/udp/225.0.2.199:5000
环球旅游 SD,http://nas.hssvm.com:8888/udp/225.0.2.200:5000
生态环境 SD,http://nas.hssvm.com:8888/udp/225.0.2.201:5000
四海钓鱼 SD,http://nas.hssvm.com:8888/udp/225.0.2.202:5000
优优宝贝 SD,http://nas.hssvm.com:8888/udp/225.0.2.203:5000
证券服务 SD,http://nas.hssvm.com:8888/udp/225.2.1.72:5000
中国天气 SD,http://nas.hssvm.com:8888/udp/225.0.2.119:5000
山东教育卫视 SD,http://nas.hssvm.com:8888/udp/225.0.2.118:5000
4K超清,#http://nas.hssvm.com:8888/udp/225.2.1.156:5000
超清乐享 4K,http://nas.hssvm.com:8888/udp/225.0.2.190:5000
爱上4K,#http://nas.hssvm.com:8888/udp/225.2.1.209:5000
羽球精品赛事,http://nas.hssvm.com:8888/udp/225.0.2.1:5000
